"Region","School District","Year","Gender","Total"
45,"West Vancouver",1999,"T",50048
46,"Sunshine Coast",1999,"T",26178
47,"Powell River",1999,"T",20021
48,"Sea to Sky",1999,"T",29688
49,"Central Coast",1999,"T",4108
50,"Haida Qwaii/Queen Charlotte",1999,"T",5233
51,"Boundary",1999,"T",12653
52,"Prince Rupert",1999,"T",18832
53,"Okanagan Similkameen",1999,"T",22896
54,"Bulkley Valley",1999,"T",16874
57,"Prince George",1999,"T",101085
58,"Nicola - Similkameen",1999,"T",16305
59,"Peace River South",1999,"T",27500
60,"Peace River North",1999,"T",30109
61,"Greater Victoria",1999,"T",209674
62,"Sooke",1999,"T",54289
63,"Saanich",1999,"T",59653
64,"Gulf Islands",1999,"T",13612
67,"Okanagan Skaha",1999,"T",50805
68,"Nanaimo-Ladysmith",1999,"T",101939
69,"Qualicum",1999,"T",37998
70,"Alberni",1999,"T",31598
71,"Comox Valley",1999,"T",57275
72,"Campbell River",1999,"T",39979
73,"Kamloops/Thompson",1999,"T",104641
74,"Gold Trail",1999,"T",12395
75,"Mission",1999,"T",36698
78,"Fraser - Cascade",1999,"T",15974
79,"Cowichan Valley",1999,"T",63912
81,"Fort Nelson",1999,"T",6172
82,"Coast Mountains",1999,"T",41347
83,"Okanagan - Shuswap",1999,"T",50349
84,"Vancouver Island West",1999,"T",3050
85,"Vancouver Island North",1999,"T",14224
87,"Stikine",1999,"T",2413
91,"Nechako Lakes",1999,"T",25302
92,"Nisga'a",1999,"T",1935
5,"Southeast Kootenay",2000,"T",39931
6,"Rocky Mountain",2000,"T",24553
8,"Kootenay Lake",2000,"T",40103
10,"Arrow Lakes",2000,"T",5050
19,"Revelstoke",2000,"T",8354
20,"Kootenay-Columbia",2000,"T",33585
22,"Vernon",2000,"T",58430
23,"Central Okanagan",2000,"T",152151
27,"Cariboo - Chilcotin",2000,"T",43826
28,"Quesnel",2000,"T",25640
33,"Chilliwack",2000,"T",71280
34,"Abbotsford",2000,"T",120655
35,"Langley",2000,"T",115667
36,"Surrey",2000,"T",376158
37,"Delta",2000,"T",102346
38,"Richmond",2000,"T",171480
39,"Vancouver",2000,"T",572619
40,"New Westminster",2000,"T",57357
41,"Burnaby",2000,"T",199767
42,"Maple Ridge-Pitt Meadows",2000,"T",80123
43,"Coquitlam",2000,"T",196778
44,"North Vancouver",2000,"T",132852
45,"West Vancouver",2000,"T",50101
46,"Sunshine Coast",2000,"T",25976
47,"Powell River",2000,"T",19753
48,"Sea to Sky",2000,"T",29659
49,"Central Coast",2000,"T",4108
50,"Haida Qwaii/Queen Charlotte",2000,"T",5140
51,"Boundary",2000,"T",12474
52,"Prince Rupert",2000,"T",17643
53,"Okanagan Similkameen",2000,"T",22732
54,"Bulkley Valley",2000,"T",16684
57,"Prince George",2000,"T",100184
58,"Nicola - Similkameen",2000,"T",16102
59,"Peace River South",2000,"T",26722
60,"Peace River North",2000,"T",30329
61,"Greater Victoria",2000,"T",209532
62,"Sooke",2000,"T",54774
63,"Saanich",2000,"T",60130
64,"Gulf Islands",2000,"T",13422
67,"Okanagan Skaha",2000,"T",50537
68,"Nanaimo-Ladysmith",2000,"T",101371
69,"Qualicum",2000,"T",38320
70,"Alberni",2000,"T",31107
71,"Comox Valley",2000,"T",56482
72,"Campbell River",2000,"T",39298
73,"Kamloops/Thompson",2000,"T",105674
74,"Gold Trail",2000,"T",12330
75,"Mission",2000,"T",36612
78,"Fraser - Cascade",2000,"T",15937
79,"Cowichan Valley",2000,"T",63728
81,"Fort Nelson",2000,"T",6007
82,"Coast Mountains",2000,"T",41018
83,"Okanagan - Shuswap",2000,"T",50466
84,"Vancouver Island West",2000,"T",2943
85,"Vancouver Island North",2000,"T",13807
87,"Stikine",2000,"T",2391
91,"Nechako Lakes",2000,"T",25077
92,"Nisga'a",2000,"T",1955
5,"Southeast Kootenay",2001,"T",39801
6,"Rocky Mountain",2001,"T",24509
8,"Kootenay Lake",2001,"T",39677
10,"Arrow Lakes",2001,"T",5011
19,"Revelstoke",2001,"T",8206
20,"Kootenay-Columbia",2001,"T",33072
22,"Vernon",2001,"T",58656
23,"Central Okanagan",2001,"T",154157
27,"Cariboo - Chilcotin",2001,"T",42846
28,"Quesnel",2001,"T",25018
33,"Chilliwack",2001,"T",72217
34,"Abbotsford",2001,"T",123476
35,"Langley",2001,"T",116770
36,"Surrey",2001,"T",387416
37,"Delta",2001,"T",102593
38,"Richmond",2001,"T",175571
39,"Vancouver",2001,"T",581130
40,"New Westminster",2001,"T",57286
41,"Burnaby",2001,"T",204058
42,"Maple Ridge-Pitt Meadows",2001,"T",82328
43,"Coquitlam",2001,"T",201792
44,"North Vancouver",2001,"T",134247
45,"West Vancouver",2001,"T",50194
46,"Sunshine Coast",2001,"T",25947
47,"Powell River",2001,"T",19589
48,"Sea to Sky",2001,"T",30083
49,"Central Coast",2001,"T",3985
50,"Haida Qwaii/Queen Charlotte",2001,"T",5028
51,"Boundary",2001,"T",12329
52,"Prince Rupert",2001,"T",17199
53,"Okanagan Similkameen",2001,"T",22865
54,"Bulkley Valley",2001,"T",16389
57,"Prince George",2001,"T",98490
58,"Nicola - Similkameen",2001,"T",15752
59,"Peace River South",2001,"T",25738
60,"Peace River North",2001,"T",30581
61,"Greater Victoria",2001,"T",210394
62,"Sooke",2001,"T",55364
63,"Saanich",2001,"T",61112
64,"Gulf Islands",2001,"T",13802
67,"Okanagan Skaha",2001,"T",50257
68,"Nanaimo-Ladysmith",2001,"T",101941
69,"Qualicum",2001,"T",38596
70,"Alberni",2001,"T",30741
71,"Comox Valley",2001,"T",56371
72,"Campbell River",2001,"T",39083
73,"Kamloops/Thompson",2001,"T",104854
74,"Gold Trail",2001,"T",12228
75,"Mission",2001,"T",36984
78,"Fraser - Cascade",2001,"T",16135
79,"Cowichan Valley",2001,"T",63595
81,"Fort Nelson",2001,"T",5993
82,"Coast Mountains",2001,"T",39857
83,"Okanagan - Shuswap",2001,"T",49966
84,"Vancouver Island West",2001,"T",2702
85,"Vancouver Island North",2001,"T",13678
87,"Stikine",2001,"T",2375
91,"Nechako Lakes",2001,"T",24779
92,"Nisga'a",2001,"T",2068
5,"Southeast Kootenay",2002,"T",39912
6,"Rocky Mountain",2002,"T",23504
8,"Kootenay Lake",2002,"T",40027
10,"Arrow Lakes",2002,"T",4918
19,"Revelstoke",2002,"T",8186
20,"Kootenay-Columbia",2002,"T",32163
22,"Vernon",2002,"T",58960
23,"Central Okanagan",2002,"T",155895
27,"Cariboo - Chilcotin",2002,"T",42145
28,"Quesnel",2002,"T",24005
33,"Chilliwack",2002,"T",73182
34,"Abbotsford",2002,"T",125216
35,"Langley",2002,"T",116000
36,"Surrey",2002,"T",399332
37,"Delta",2002,"T",101960
38,"Richmond",2002,"T",176968
39,"Vancouver",2002,"T",587012
40,"New Westminster",2002,"T",58022
41,"Burnaby",2002,"T",204727
42,"Maple Ridge-Pitt Meadows",2002,"T",83330
43,"Coquitlam",2002,"T",204573
44,"North Vancouver",2002,"T",134022
